participant,merge_count,time_taken,pleasant,eventful,chaotic,vibrant,uneventful,calm,annoying,monotonous,Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
"ARAUS_00672, ARAUS_00087",2,58.8975,3.0,3.5,2.0,2.5,2.5,2.5,2.5,1.5,1.81,1.99,15.05,22.9,0.01625,0.104,0.02345,0.06605,0.11,1.81
ARAUS_00457,1,94.559,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.83,2.1,15.1,22.8,0.0157,0.103,0.0227,0.0647,0.289,1.9
ARAUS_00017,1,38.296,4.0,2.0,2.0,1.0,5.0,2.0,3.0,4.0,1.82,2.02,15.1,24.6,0.0299,0.103,0.0228,0.0683,0.155,1.89
ARAUS_00017,1,41.408,5.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,1.9,2.67,16.3,27.4,0.0452,0.103,0.0329,0.177,0.0775,1.0
"ARAUS_00587, ARAUS_00197",2,46.602000000000004,4.0,1.5,1.5,2.0,4.5,4.0,2.0,4.0,1.9049999999999998,3.1100000000000003,15.75,23.9,0.06435,0.38449999999999995,0.022449999999999998,0.06814999999999999,0.09625,1.04
ARAUS_00297,1,66.008,4.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,1.96,2.48,16.4,23.9,0.028,0.104,0.0214,0.0608,0.3,1.23
ARAUS_00012,1,44.306,4.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,1.93,2.82,17.1,31.6,0.036,0.0926,0.0399,0.455,0.19,1.83
"ARAUS_00347, ARAUS_00557",2,49.522999999999996,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,1.8650000000000002,3.04,15.75,24.9,0.03265,0.14950000000000002,0.02445,0.06645000000000001,0.133,2.08
ARAUS_00042,1,41.781,4.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,1.81,1.98,14.9,22.8,0.0165,0.104,0.0235,0.0705,0.0654,1.04
ARAUS_00197,1,51.283,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,1.81,2.0,17.6,27.9,0.119,0.316,0.0255,0.165,0.107,0.925
ARAUS_00217,1,46.679,5.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,1.81,1.99,15.8,27.1,0.0443,0.174,0.0229,0.0681,0.361,3.54
"ARAUS_00082, ARAUS_00592",2,71.3195,3.0,3.0,2.5,3.0,4.0,3.0,4.0,4.0,1.83,2.02,15.35,23.200000000000003,0.02095,0.09905,0.022600000000000002,0.06814999999999999,0.1015,1.01
ARAUS_00202,1,112.334,3.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,1.86,2.3,16.4,23.3,0.0341,0.104,0.0528,0.291,0.305,2.19
ARAUS_00527,1,44.335,4.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,1.83,2.34,15.0,22.8,0.0166,0.101,0.023,0.0684,0.0731,1.04
ARAUS_00132,1,67.93,5.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,1.82,1.99,14.9,22.8,0.0194,0.0954,0.0233,0.0662,0.11,1.31
ARAUS_00462,1,68.192,4.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,1.82,1.99,14.9,22.8,0.017,0.102,0.0235,0.0684,0.0736,1.04
"ARAUS_00092, ARAUS_00362",2,56.173,3.0,2.0,3.0,2.0,4.5,3.0,3.0,3.0,1.67,2.0,18.25,35.4,0.01815,0.09620000000000001,0.02605,0.0684,0.1605,1.895
"ARAUS_00072, ARAUS_00402",2,61.157,2.5,2.0,2.5,2.0,4.0,2.0,3.5,3.5,1.755,1.9249999999999998,15.899999999999999,23.25,0.01165,0.102,0.02465,0.06565,0.09545000000000001,1.03
"ARAUS_00072, ARAUS_00342, ARAUS_00587",3,46.29266666666666,2.0,1.3333333333333333,3.3333333333333335,2.0,4.333333333333333,2.0,3.6666666666666665,3.6666666666666665,1.62,1.7733333333333334,18.400000000000002,29.233333333333334,0.0184,0.16,0.0281,0.06976666666666667,0.12726666666666667,0.9393333333333334
"ARAUS_00047, ARAUS_00632, ARAUS_00337",3,45.752,3.0,2.6666666666666665,3.0,3.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,2.6666666666666665,1.7299999999999998,2.0,17.733333333333334,32.233333333333334,0.0356,0.11766666666666666,0.0262,0.06196666666666667,0.08663333333333334,1.073
"ARAUS_00242, ARAUS_00452, ARAUS_00592",3,52.34633333333333,2.3333333333333335,3.0,3.3333333333333335,2.0,3.6666666666666665,1.6666666666666667,4.0,3.6666666666666665,1.7933333333333332,1.96,15.766666666666666,24.166666666666668,0.024499999999999997,0.108,0.025566666666666665,0.07013333333333334,0.05223333333333333,0.8443333333333333
"ARAUS_00202, ARAUS_00302",2,78.384,2.5,4.0,4.0,2.5,2.0,2.5,3.5,4.0,1.97,2.385,15.850000000000001,23.9,0.01155,0.104,0.02345,0.0616,0.11699999999999999,1.0350000000000001
"ARAUS_00602, ARAUS_00222, ARAUS_00292",3,80.60066666666667,2.0,2.6666666666666665,3.6666666666666665,3.0,2.6666666666666665,1.6666666666666667,4.0,2.3333333333333335,1.6466666666666665,1.7633333333333334,19.166666666666668,25.133333333333336,0.01026,0.10433333333333333,0.07273333333333333,0.12480000000000001,0.30533333333333335,0.8983333333333333
"ARAUS_00592, ARAUS_00397, ARAUS_00182",3,47.410666666666664,1.6666666666666667,3.0,4.0,2.0,2.6666666666666665,1.6666666666666667,4.666666666666667,2.0,1.7533333333333332,2.313333333333333,17.033333333333335,23.433333333333334,0.012700000000000001,0.10533333333333333,0.025833333333333333,0.056999999999999995,0.289,1.7766666666666666
"ARAUS_00172, ARAUS_00457, ARAUS_00347, ARAUS_00517, ARAUS_00672, ARAUS_00502, ARAUS_00607, ARAUS_00057, ARAUS_00227, ARAUS_00437, ARAUS_00267, ARAUS_00157, ARAUS_00332, ARAUS_00112, ARAUS_00572, ARAUS_00282, ARAUS_00402, ARAUS_00092, ARAUS_00627, ARAUS_00002",20,60.714999999999996,3.4,2.2,2.2,2.2,3.25,3.55,2.35,3.2,1.8199999999999998,1.9899999999999998,14.8,22.8,0.0131,0.10400000000000001,0.0234,0.0684,0.05920000000000001,1.04
"ARAUS_00427, ARAUS_00092",2,112.57350000000001,1.5,3.0,3.0,2.5,3.5,1.5,3.5,4.0,1.665,1.89,18.6,26.85,0.036849999999999994,0.11499999999999999,0.0291,0.06185,0.0985,0.9225
"ARAUS_00322, ARAUS_00192",2,54.4105,2.5,3.0,4.5,2.5,3.0,1.5,4.0,3.0,1.6400000000000001,1.85,19.4,38.2,0.013649999999999999,0.14700000000000002,0.0292,0.0743,0.07694999999999999,0.907
"ARAUS_00422, ARAUS_00137",2,60.207499999999996,2.5,1.5,3.0,2.0,3.5,2.0,4.0,4.5,1.75,2.24,16.9,33.8,0.0132,0.104,0.02695,0.174,0.10250000000000001,0.9975
"ARAUS_00167, ARAUS_00302",2,81.1635,3.5,4.5,3.5,2.5,2.0,2.5,3.5,2.0,1.67,1.9100000000000001,18.0,29.1,0.012750000000000001,0.10075,0.02725,0.0641,0.0793,1.0150000000000001
"ARAUS_00492, ARAUS_00002",2,50.846000000000004,4.0,3.0,2.0,3.0,2.0,3.5,2.5,3.0,1.7349999999999999,1.95,16.549999999999997,27.75,0.012150000000000001,0.105,0.0257,0.059649999999999995,0.07815,1.1815
"ARAUS_00342, ARAUS_00112",2,40.7345,3.0,1.5,2.5,2.0,4.5,3.0,2.5,4.5,1.7,1.885,17.35,23.65,0.0119,0.1105,0.027000000000000003,0.05765,0.0622,0.9259999999999999
"ARAUS_00027, ARAUS_00302",2,60.3605,2.5,3.0,3.0,3.0,2.5,1.5,4.0,4.0,1.4649999999999999,1.6749999999999998,23.05,36.35,0.012050000000000002,0.1225,0.0336,0.06605,0.448,4.785
"ARAUS_00152, ARAUS_00472",2,48.3765,5.0,2.0,1.0,3.5,3.0,4.5,1.5,2.5,1.65,1.805,18.9,25.7,0.0123,0.109,0.030850000000000002,0.06735000000000001,0.0583,0.8545
ARAUS_00002,1,65.327,4.0,2.0,1.0,1.0,4.0,5.0,1.0,3.0,1.9,2.06,15.5,23.2,0.0106,0.104,0.0229,0.0623,0.0536,1.03
ARAUS_00102,1,42.401,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,1.79,1.94,16.1,23.4,0.0124,0.103,0.026,0.0579,0.045,0.952
ARAUS_00367,1,58.367,3.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,1.77,1.9,15.7,23.6,0.0123,0.108,0.0248,0.0541,0.0526,1.01
ARAUS_00452,1,55.527,3.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,1.78,1.93,16.3,23.1,0.0104,0.106,0.0246,0.0537,0.0466,0.972
ARAUS_00502,1,51.446,2.0,3.0,4.0,2.0,2.0,1.0,4.0,4.0,1.61,1.77,23.9,29.3,0.0109,0.127,0.0312,0.0635,0.143,1.11
ARAUS_00477,1,58.68,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.83,1.98,16.1,23.3,0.0101,0.102,0.0249,0.0516,0.0481,0.988
ARAUS_00182,1,49.768,3.0,2.0,1.0,1.0,5.0,4.0,2.0,4.0,1.78,1.95,15.8,22.9,0.0135,0.102,0.0249,0.0643,0.0527,1.04
"ARAUS_00622, ARAUS_00012",2,62.5775,4.0,1.5,1.5,2.0,4.5,4.0,1.5,4.5,1.8450000000000002,2.025,16.5,23.85,0.013049999999999999,0.1115,0.027950000000000003,0.06615,0.0528,0.81
ARAUS_00042,1,61.34,3.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,1.72,1.9,16.2,23.9,0.0219,0.114,0.0302,0.073,0.0485,0.995
ARAUS_00432,1,62.635,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,1.65,1.78,21.0,26.8,0.0106,0.115,0.0293,0.0635,0.0298,0.75
ARAUS_00057,1,60.586,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.84,1.98,16.5,23.4,0.00968,0.106,0.0233,0.0528,0.0431,0.92
