participant,soundscape,masker,stimulus_index,time_taken,Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
ARAUS_00021,R0048_segment_binaural_44100_2.wav,traffic_00006.wav,10,43.652,1.28,1.58,14.1,19.7,0.00849,0.102,0.0264,0.0528,0.0891,1.27
ARAUS_00024,R0113_segment_binaural_44100_2.wav,bird_00062.wav,16,46.087,1.2,1.76,7.8,12.2,0.0271,0.102,0.0245,0.0559,0.103,0.811
ARAUS_00030,R0069_segment_binaural_44100_2.wav,wind_00003.wav,28,51.416,1.07,1.74,17.5,32.5,0.0124,0.124,0.0375,0.0842,0.261,1.23
ARAUS_00093,R0132_segment_binaural_44100_1.wav,bird_00071.wav,4,55.264,1.15,1.51,12.3,20.6,0.0186,0.117,0.035,0.105,0.14,1.03
ARAUS_00093,R0120_segment_binaural_44100_2.wav,bird_00008.wav,15,43.022,1.18,1.71,9.99,14.9,0.0313,0.0822,0.0304,0.08,0.0845,0.691
ARAUS_00117,R0052_segment_binaural_44100_1.wav,traffic_00033.wav,27,47.328,1.12,1.81,7.77,11.2,0.00965,0.0648,0.029,0.0965,0.285,1.25
ARAUS_00133,R0059_segment_binaural_44100_2.wav,bird_00051.wav,9,66.652,1.85,3.57,8.92,16.0,0.0213,0.0663,0.0175,0.043,0.293,1.1
ARAUS_00148,R0051_segment_binaural_44100_1.wav,silence_00003.wav,40,46.392,1.6,2.54,4.28,9.69,0.027,0.1,0.0129,0.0567,0.0944,1.16
ARAUS_00201,R0027_segment_binaural_44100_1.wav,silence_00001.wav,42,33.863,1.82,2.43,7.0,8.5,0.00805,0.0679,0.0154,0.0395,0.034,0.464
ARAUS_00217,R0026_segment_binaural_44100_1.wav,bird_00056.wav,7,43.916,1.65,2.39,11.9,19.3,0.0202,0.0828,0.0233,0.0918,0.337,1.78
ARAUS_00298,R0059_segment_binaural_44100_1.wav,silence_00003.wav,8,59.232,1.27,1.52,8.28,12.1,0.0111,0.0828,0.0217,0.0537,0.35,1.4
ARAUS_00330,R0119_segment_binaural_44100_1.wav,bird_00045.wav,23,42.743,1.44,2.04,12.2,17.9,0.0368,0.0839,0.0265,0.0608,0.204,1.3
ARAUS_00339,R0022_segment_binaural_44100_2.wav,bird_00007.wav,34,37.783,1.95,2.26,11.5,22.0,0.0523,0.105,0.0203,0.0562,0.0346,0.914
ARAUS_00390,R0121_segment_binaural_44100_1.wav,bird_00080.wav,18,56.35,1.17,2.32,10.1,28.3,0.075,0.24,0.0323,0.11,0.241,2.73
ARAUS_00477,R0020_segment_binaural_44100_1.wav,silence_00002.wav,5,47.157,1.19,1.41,9.18,15.5,0.00938,0.0835,0.0221,0.0583,0.339,1.48
ARAUS_00491,R0080_segment_binaural_44100_2.wav,bird_00044.wav,2,114.795,1.61,2.06,10.6,22.4,0.0609,0.177,0.0322,0.194,0.163,1.14
ARAUS_00499,R0019_segment_binaural_44100_1.wav,bird_00033.wav,4,91.594,1.35,2.48,11.7,20.5,0.0104,0.103,0.0238,0.0518,0.112,1.05
ARAUS_00499,R0003_segment_binaural_44100_1.wav,traffic_00018.wav,37,51.868,1.17,1.59,9.54,15.7,0.00785,0.0771,0.025,0.058,0.0738,1.0
ARAUS_00514,R0002_segment_binaural_44100_2.wav,water_00062.wav,13,53.504,1.47,1.93,21.0,42.5,0.0153,0.134,0.0343,0.104,0.418,6.18
