Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
1.24,1.48,31.2,50.0,0.0125,0.137,0.0415,0.0768,0.599,6.79
1.17,2.32,22.3,42.4,0.0116,0.116,0.0533,0.228,0.389,4.25
1.43,2.35,24.1,42.4,0.0126,0.12,0.033,0.0827,0.314,4.18
1.41,1.74,30.8,39.0,0.0191,0.146,0.0401,0.0827,0.316,1.48
1.56,2.85,32.6,52.3,0.0265,0.106,0.0433,0.0986,0.461,2.36
1.33,1.79,21.8,34.6,0.0128,0.13,0.0324,0.0961,0.287,1.83
1.19,1.52,23.2,32.7,0.0133,0.14,0.0447,0.108,0.152,1.72
1.42,2.0,16.3,29.3,0.162,0.407,0.0283,0.194,0.373,2.42
1.83,1.99,19.4,27.3,0.0135,0.0893,0.0398,0.0942,0.547,3.05
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.76,2.1,25.2,36.3,0.0345,0.137,0.0313,0.0948,0.287,1.77
1.36,1.66,25.8,35.2,0.0124,0.134,0.0375,0.0992,0.41,4.69
1.3,1.74,17.4,36.3,0.108,0.395,0.0429,0.223,0.355,2.11
1.92,2.27,21.4,32.7,0.0213,0.149,0.0293,0.07,0.117,1.04
1.7,2.11,36.9,52.9,0.0188,0.141,0.0432,0.106,0.261,1.64
1.52,1.93,33.9,44.9,0.018,0.112,0.0381,0.0783,0.433,2.33
1.25,1.62,26.0,42.8,0.0333,0.104,0.0411,0.107,0.582,3.7
1.26,1.62,31.1,51.9,0.0279,0.113,0.0441,0.121,0.514,3.69
1.4,1.58,27.0,34.3,0.0201,0.15,0.0374,0.0886,0.201,1.62
1.39,1.98,26.4,33.9,0.0217,0.148,0.0383,0.0905,0.228,1.72
1.31,1.6,25.1,32.1,0.0222,0.149,0.0391,0.0902,0.236,1.74
1.44,1.75,20.9,34.4,0.231,0.371,0.0364,0.0954,0.249,1.71
1.15,1.55,29.5,57.0,0.0338,0.174,0.0534,0.265,0.461,2.52
1.54,1.85,15.7,20.7,0.0169,0.0938,0.0266,0.0622,0.182,1.16
1.91,3.19,39.7,70.7,0.0394,0.146,0.0382,0.0948,0.695,3.32
1.38,1.66,32.0,41.1,0.0167,0.159,0.0398,0.0775,0.203,1.81
1.36,1.71,18.4,27.1,0.0237,0.0975,0.034,0.0994,0.226,1.58
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.46,2.08,30.7,38.1,0.0171,0.151,0.0782,0.145,0.166,1.61
1.46,1.84,20.8,34.4,0.0274,0.0994,0.0333,0.0981,0.293,1.74
1.83,2.39,32.5,40.3,0.0119,0.133,0.0328,0.0723,0.368,4.43
1.56,1.92,13.8,19.3,0.00861,0.0766,0.0283,0.069,0.155,1.02
1.53,1.89,15.5,20.0,0.00844,0.102,0.0273,0.0555,0.107,0.842
1.7,2.17,20.4,32.8,0.00959,0.106,0.0285,0.0606,0.106,1.88
1.96,2.46,22.7,32.2,0.0207,0.138,0.0282,0.0884,0.186,1.2
1.23,1.43,17.5,50.1,0.0136,0.0836,0.0386,0.259,0.403,3.13
1.26,1.88,23.5,35.0,0.0214,0.186,0.0428,0.146,0.268,1.49
1.56,1.71,27.2,36.4,0.0186,0.123,0.0334,0.0673,0.372,2.04
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.33,1.44,29.5,34.0,0.0108,0.122,0.0894,0.179,0.372,0.902
1.23,1.73,19.3,32.9,0.0345,0.138,0.0362,0.0854,0.269,1.77
1.41,2.3,24.0,46.4,0.0153,0.123,0.0391,0.256,0.196,1.15
1.23,1.95,14.2,32.6,0.0157,0.13,0.0304,0.0733,0.304,2.18
1.26,1.73,19.6,36.3,0.0457,0.141,0.0345,0.0813,0.444,3.39
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.29,1.95,17.8,25.5,0.0182,0.123,0.0349,0.0714,0.239,1.54
1.23,1.56,26.2,40.4,0.0441,0.187,0.0438,0.102,0.643,4.04
1.41,1.82,27.1,36.6,0.0163,0.165,0.0386,0.0897,0.163,1.11
1.19,1.39,20.0,25.2,0.00968,0.108,0.0359,0.0738,0.181,1.87
1.69,2.06,30.4,43.9,0.0141,0.116,0.0374,0.0913,0.32,1.54
1.28,1.67,30.9,42.5,0.0132,0.164,0.0394,0.0903,0.372,2.61
1.18,1.69,24.8,39.6,0.048,0.187,0.0433,0.103,0.731,4.12
1.5,1.97,23.4,37.6,0.0226,0.121,0.0383,0.0755,0.0823,1.14
1.41,2.03,25.0,53.1,0.0723,0.158,0.0364,0.079,0.192,1.79
1.17,1.48,19.5,34.8,0.0196,0.129,0.0371,0.0728,0.139,1.19
1.26,1.66,19.9,29.7,0.0212,0.125,0.0347,0.075,0.22,1.9
1.26,1.7,23.0,32.7,0.0113,0.111,0.0372,0.09,0.434,2.14
1.45,1.63,24.4,31.1,0.011,0.128,0.0348,0.0908,0.119,1.64
1.39,1.56,23.0,36.8,0.016,0.135,0.0356,0.0688,0.0969,1.0
1.28,1.7,23.8,39.8,0.0196,0.111,0.037,0.0891,0.49,2.99
1.22,1.79,14.7,22.8,0.0123,0.105,0.03,0.0644,0.206,1.35
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.27,1.57,22.4,33.8,0.0247,0.129,0.0358,0.0902,0.433,2.24
1.31,1.69,24.8,33.4,0.027,0.135,0.0381,0.0896,0.394,2.04
1.36,1.72,23.2,39.2,0.0625,0.173,0.039,0.083,0.163,1.58
2.11,2.42,34.3,45.6,0.0119,0.133,0.0317,0.0639,0.347,4.35
2.33,2.56,28.8,40.0,0.0232,0.105,0.0249,0.0547,0.191,1.34
1.47,1.64,25.5,35.9,0.021,0.109,0.0394,0.0897,0.181,3.03
1.24,2.22,22.8,38.0,0.0313,0.144,0.0425,0.107,0.549,3.17
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.7,2.01,30.1,39.4,0.0185,0.114,0.0353,0.0682,0.23,1.08
1.32,1.56,22.1,30.1,0.0125,0.136,0.0331,0.0684,0.0829,0.731
1.2,1.62,35.8,43.2,0.0189,0.162,0.0457,0.0934,0.0771,1.65
