participant,soundscape,masker,stimulus_index,time_taken,Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
ARAUS_00026,R0126_segment_binaural_44100_1.wav,silence_00001.wav,8,49.657,1.19,1.44,6.43,8.36,0.00645,0.0617,0.0239,0.0518,0.0346,0.366
ARAUS_00083,R0034_segment_binaural_44100_2.wav,silence_00003.wav,27,127.168,1.06,1.66,6.51,9.81,0.0112,0.0726,0.0237,0.103,0.105,0.953
ARAUS_00087,R0020_segment_binaural_44100_1.wav,bird_00046.wav,22,34.167,1.23,1.75,9.69,18.4,0.0258,0.0835,0.0216,0.0582,0.454,2.3
ARAUS_00087,R0110_segment_binaural_44100_2.wav,wind_00020.wav,38,48.527,1.5,1.9,15.8,19.2,0.00827,0.0951,0.0267,0.0494,0.119,1.63
ARAUS_00121,R0081_segment_binaural_44100_2.wav,silence_00001.wav,5,62.722,1.24,1.4,16.0,24.0,0.0453,0.108,0.0382,0.104,0.387,1.47
ARAUS_00295,R0128_segment_binaural_44100_2.wav,silence_00005.wav,15,39.153,1.18,2.11,7.82,13.6,0.0154,0.0773,0.025,0.078,0.136,1.36
ARAUS_00295,R0058_segment_binaural_44100_2.wav,wind_00040.wav,21,34.775,1.65,2.01,18.8,24.4,0.0154,0.0958,0.0243,0.0544,0.148,1.51
ARAUS_00295,R0010_segment_binaural_44100_1.wav,wind_00040.wav,30,37.424,1.47,2.07,19.7,31.0,0.037,0.12,0.0303,0.0787,0.21,2.12
ARAUS_00296,R0048_segment_binaural_44100_2.wav,water_00031.wav,30,45.56,1.35,1.64,14.6,20.4,0.0083,0.102,0.0279,0.0513,0.0826,1.14
ARAUS_00389,R0113_segment_binaural_44100_2.wav,construction_00006.wav,10,67.31,1.19,1.48,8.02,11.3,0.0138,0.0641,0.0239,0.0491,0.087,0.782
ARAUS_00584,R0127_segment_binaural_44100_2.wav,traffic_00002.wav,19,64.585,1.32,2.07,11.3,16.6,0.0109,0.0964,0.0286,0.0947,0.0669,0.626
ARAUS_00584,R0098_segment_binaural_44100_1.wav,silence_00004.wav,24,65.984,1.1,1.29,9.96,12.4,0.00805,0.0949,0.0328,0.0782,0.0919,1.06
ARAUS_00584,R0043_segment_binaural_44100_1.wav,silence_00004.wav,35,59.263,1.12,1.37,12.3,14.3,0.00812,0.0976,0.0298,0.0616,0.0435,0.426
