participant,merge_count,time_taken,pleasant,eventful,chaotic,vibrant,uneventful,calm,annoying,monotonous,Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
"ARAUS_00015, ARAUS_00380, ARAUS_00570",3,56.538333333333334,2.3333333333333335,2.6666666666666665,1.0,1.0,4.666666666666667,3.0,2.3333333333333335,4.333333333333333,1.078,1.39,10.906666666666666,13.5,0.007673333333333333,0.09519999999999999,0.027499999999999997,0.05433333333333334,0.027766666666666665,0.30866666666666664
"ARAUS_00298, ARAUS_00133, ARAUS_00563",3,55.663666666666664,2.0,2.0,2.3333333333333335,1.0,4.0,2.0,4.666666666666667,3.3333333333333335,1.7700000000000002,2.1,27.433333333333334,53.46666666666667,0.014833333333333332,0.15233333333333332,0.03966666666666666,0.17200000000000001,0.25166666666666665,2.8333333333333335
"ARAUS_00266, ARAUS_00651, ARAUS_00096",3,71.94033333333333,2.3333333333333335,2.0,2.3333333333333335,1.0,3.0,2.6666666666666665,3.3333333333333335,3.6666666666666665,1.61,1.9366666666666665,13.700000000000001,19.0,0.010369999999999999,0.10766666666666667,0.0213,0.04573333333333333,0.07063333333333334,0.7213333333333333
"ARAUS_00594, ARAUS_00024, ARAUS_00469",3,66.98366666666666,2.0,2.6666666666666665,3.0,1.0,3.0,1.6666666666666667,3.6666666666666665,2.3333333333333335,1.6133333333333333,2.18,13.4,18.366666666666667,0.009846666666666667,0.09916666666666667,0.0242,0.051333333333333335,0.09006666666666667,0.8856666666666667
"ARAUS_00439, ARAUS_00589, ARAUS_00104",3,65.60033333333332,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.0,4.333333333333333,3.0,3.0,4.0,1.1033333333333335,1.3033333333333335,11.933333333333332,15.166666666666666,0.01493,0.1114,0.037766666666666664,0.082,0.06626666666666667,0.9273333333333333
"ARAUS_00365, ARAUS_00240, ARAUS_00600",3,83.02866666666667,3.0,1.3333333333333333,1.0,1.0,4.666666666666667,3.6666666666666665,3.0,3.6666666666666665,1.89,2.3633333333333333,16.133333333333333,28.03333333333333,0.014799999999999999,0.10333333333333333,0.0233,0.044966666666666676,0.16333333333333333,2.3533333333333335
"ARAUS_00154, ARAUS_00679",2,68.024,5.0,1.5,1.0,1.0,4.5,5.0,1.0,3.0,1.245,1.415,9.48,13.2,0.00784,0.0873,0.02475,0.05015,0.048549999999999996,0.6925
"ARAUS_00296, ARAUS_00566",2,50.6715,5.0,1.0,1.0,1.0,5.0,5.0,1.5,4.0,1.38,2.5149999999999997,9.17,15.85,0.010964999999999999,0.0886,0.03095,0.18,0.1115,0.99
"ARAUS_00030, ARAUS_00475",2,54.332,2.5,2.5,1.0,1.0,3.5,2.0,4.0,5.0,1.3,1.93,12.1,16.6,0.01062,0.09985,0.02685,0.05175,0.0743,1.0190000000000001
"ARAUS_00455, ARAUS_00570",2,77.4625,3.5,1.0,1.0,1.0,5.0,4.5,1.5,4.0,1.09,1.27,10.95,13.100000000000001,0.007605000000000001,0.09490000000000001,0.02735,0.055749999999999994,0.02135,0.315
