participant,merge_count,time_taken,pleasant,eventful,chaotic,vibrant,uneventful,calm,annoying,monotonous,Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
"ARAUS_00608, ARAUS_00013, ARAUS_00298",3,90.68166666666666,1.0,5.0,4.666666666666667,2.6666666666666665,1.0,1.0,5.0,3.3333333333333335,1.2333333333333334,1.4333333333333333,27.0,44.23333333333333,0.1333,0.24566666666666667,0.0482,0.12863333333333335,0.16633333333333333,1.0666666666666667
"ARAUS_00500, ARAUS_00010, ARAUS_00675",3,61.867333333333335,2.3333333333333335,5.0,3.6666666666666665,4.333333333333333,1.0,1.3333333333333333,4.0,1.3333333333333333,1.38,1.6866666666666668,26.599999999999998,43.23333333333333,0.0183,0.17333333333333334,0.03556666666666667,0.08343333333333332,0.43133333333333335,2.61
"ARAUS_00674, ARAUS_00474, ARAUS_00119",3,46.42033333333333,3.0,5.0,5.0,4.0,1.0,1.0,2.3333333333333335,1.0,1.6533333333333333,2.3666666666666667,26.633333333333336,39.233333333333334,0.018199999999999997,0.15866666666666665,0.036866666666666666,0.11266666666666665,0.4203333333333333,1.8066666666666666
"ARAUS_00364, ARAUS_00149, ARAUS_00579",3,62.86166666666666,1.3333333333333333,5.0,4.666666666666667,4.0,1.0,1.0,4.333333333333333,1.0,1.31,1.68,29.833333333333332,56.56666666666666,0.018766666666666668,0.13166666666666668,0.04046666666666667,0.08713333333333334,0.7333333333333334,3.016666666666667
"ARAUS_00563, ARAUS_00343, ARAUS_00148",3,42.82866666666666,3.0,5.0,3.3333333333333335,3.6666666666666665,1.3333333333333333,2.3333333333333335,4.0,1.6666666666666667,1.2,1.5266666666666666,25.2,43.53333333333333,0.0473,0.13533333333333333,0.04153333333333333,0.12966666666666668,0.48733333333333334,2.75
"ARAUS_00474, ARAUS_00154",2,63.636,3.5,5.0,3.0,4.5,3.0,3.0,2.5,1.5,1.47,1.745,24.2,30.45,0.02125,0.1175,0.03255,0.11299999999999999,0.253,2.0949999999999998
"ARAUS_00492, ARAUS_00247",2,45.5385,1.0,5.0,4.5,3.5,2.0,1.5,5.0,2.0,1.805,2.69,30.95,46.0,0.03765,0.2,0.04105,0.0977,0.649,4.0
"ARAUS_00002, ARAUS_00402",2,69.6635,2.5,5.0,2.5,4.5,1.0,1.5,2.0,1.5,1.2,1.52,27.049999999999997,46.55,0.0324,0.158,0.045649999999999996,0.1015,0.5805,3.88
"ARAUS_00192, ARAUS_00427",2,84.96549999999999,1.0,5.0,5.0,4.0,1.0,1.0,4.0,1.5,1.21,1.435,30.549999999999997,46.35,0.030100000000000002,0.1955,0.04725,0.098,0.483,3.6950000000000003
"ARAUS_00112, ARAUS_00677",2,59.5325,2.0,5.0,4.0,4.5,1.0,1.0,3.0,1.5,1.26,1.61,26.75,43.2,0.03195,0.105,0.0413,0.1031,0.563,3.64
"ARAUS_00327, ARAUS_00082",2,61.429500000000004,3.0,5.0,4.0,5.0,1.0,1.5,3.0,1.0,1.6,2.1550000000000002,27.95,43.4,0.035750000000000004,0.1045,0.036199999999999996,0.11649999999999999,0.573,3.6799999999999997
"ARAUS_00147, ARAUS_00477",2,55.816500000000005,2.0,5.0,3.0,4.0,1.0,1.0,3.5,1.5,1.595,1.8599999999999999,31.05,38.15,0.0123,0.157,0.0357,0.07289999999999999,0.249,1.7
"ARAUS_00021, ARAUS_00651",2,51.4325,3.0,5.0,4.5,4.0,1.5,1.0,5.0,3.0,1.24,1.8450000000000002,11.55,21.75,0.044,0.1355,0.02345,0.07445,0.32,1.8199999999999998
"ARAUS_00584, ARAUS_00404",2,62.438500000000005,4.0,5.0,3.5,5.0,1.0,1.5,3.5,2.5,1.505,2.41,24.55,40.7,0.02615,0.125,0.032600000000000004,0.1195,0.2765,3.545
"ARAUS_00149, ARAUS_00524",2,45.159499999999994,1.0,5.0,5.0,4.0,1.0,1.0,5.0,1.5,1.81,2.375,28.8,39.0,0.0144,0.1355,0.028200000000000003,0.064,0.1775,1.87
"ARAUS_00285, ARAUS_00140",2,46.503,1.0,5.0,5.0,2.5,2.5,1.5,4.5,1.0,1.415,1.8900000000000001,26.549999999999997,49.35,0.02245,0.139,0.034449999999999995,0.0938,0.406,2.705
"ARAUS_00385, ARAUS_00140",2,60.638999999999996,1.0,5.0,5.0,3.5,1.5,1.0,5.0,1.5,1.63,1.98,27.75,40.4,0.01335,0.11699999999999999,0.0348,0.09615000000000001,0.316,1.655
"ARAUS_00436, ARAUS_00251",2,50.394999999999996,4.0,5.0,2.5,3.5,1.5,3.0,2.0,1.5,1.665,1.995,24.25,36.35,0.05355,0.16899999999999998,0.02595,0.08275,0.9305,4.225
"ARAUS_00496, ARAUS_00576",2,47.5385,2.5,5.0,3.0,4.5,1.0,2.0,3.0,1.0,1.595,2.035,25.7,39.2,0.041999999999999996,0.163,0.03715,0.3395,0.6605,4.195
"ARAUS_00479, ARAUS_00679",2,70.072,1.5,5.0,5.0,2.0,2.0,1.0,4.5,3.5,1.4449999999999998,1.995,23.4,46.95,0.05045,0.183,0.0414,0.1555,0.2615,1.675
"ARAUS_00310, ARAUS_00565",2,44.4845,2.0,5.0,4.5,4.0,1.0,1.0,4.0,1.5,1.475,1.83,23.95,36.3,0.0221,0.1815,0.0368,0.09715,0.47250000000000003,2.955
"ARAUS_00210, ARAUS_00340",2,63.77,2.5,5.0,4.0,4.5,1.0,1.0,3.5,1.5,1.295,1.65,27.9,41.599999999999994,0.0161,0.1285,0.0434,0.0969,0.5515,2.34
"ARAUS_00679, ARAUS_00009",2,57.1205,2.0,5.0,3.5,4.5,1.0,1.5,4.0,3.0,1.24,1.66,22.2,33.400000000000006,0.1008,0.14300000000000002,0.03785,0.111,0.3735,1.43
"ARAUS_00309, ARAUS_00119",2,50.0865,3.5,5.0,5.0,4.5,1.5,1.5,4.0,3.0,1.605,1.84,27.35,34.15,0.013399999999999999,0.136,0.03385,0.06205,0.166,0.9245
"ARAUS_00389, ARAUS_00089",2,71.29650000000001,2.5,5.0,4.5,3.5,1.5,1.5,4.0,2.0,1.32,1.9,29.85,40.349999999999994,0.0169,0.153,0.0435,0.1345,0.21150000000000002,1.56
"ARAUS_00522, ARAUS_00087",2,46.560500000000005,1.0,5.0,4.0,2.0,1.0,1.5,4.0,2.5,1.4500000000000002,1.635,36.95,48.900000000000006,0.01585,0.15949999999999998,0.05185,0.12835,0.11349999999999999,0.9710000000000001
"ARAUS_00629, ARAUS_00074",2,61.909000000000006,3.0,5.0,2.0,3.0,1.0,3.0,2.0,1.5,1.3599999999999999,2.715,21.65,44.349999999999994,0.062,0.1955,0.0388,0.1022,0.9085,3.885
"ARAUS_00387, ARAUS_00087",2,55.5655,1.5,5.0,4.0,4.5,1.5,1.5,4.5,1.5,1.3,1.5950000000000002,20.7,27.450000000000003,0.013250000000000001,0.116,0.03545,0.0764,0.20500000000000002,1.38
"ARAUS_00410, ARAUS_00015",2,66.65,4.0,5.0,2.0,4.5,1.5,3.0,1.5,1.5,1.43,2.0,24.15,40.75,0.01915,0.128,0.032,0.07335,0.2935,1.775
"ARAUS_00541, ARAUS_00406",2,50.224000000000004,2.5,5.0,3.5,3.5,1.5,2.0,3.5,2.0,1.4100000000000001,1.665,29.05,39.35,0.013850000000000001,0.1405,0.039150000000000004,0.09145,0.213,2.01
