participant,merge_count,time_taken,pleasant,eventful,chaotic,vibrant,uneventful,calm,annoying,monotonous,Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
"ARAUS_00651, ARAUS_00201, ARAUS_00411",3,64.53266666666667,5.0,2.3333333333333335,1.3333333333333333,3.3333333333333335,2.3333333333333335,4.333333333333333,1.3333333333333333,3.6666666666666665,1.12,1.37,10.386666666666667,14.200000000000001,0.00796,0.09413333333333333,0.027566666666666666,0.07833333333333332,0.06373333333333334,0.8893333333333334
"ARAUS_00548, ARAUS_00343, ARAUS_00038",3,48.999,5.0,3.6666666666666665,1.3333333333333333,3.0,2.3333333333333335,5.0,1.0,1.6666666666666667,1.4866666666666666,2.063333333333333,5.753333333333333,11.266666666666666,0.0201,0.0805,0.017,0.10263333333333334,0.0439,0.498
"ARAUS_00152, ARAUS_00472",2,48.3765,5.0,2.0,1.0,3.5,3.0,4.5,1.5,2.5,1.65,1.805,18.9,25.7,0.0123,0.109,0.030850000000000002,0.06735000000000001,0.0583,0.8545
"ARAUS_00229, ARAUS_00559",2,47.5255,5.0,1.5,1.5,2.5,5.0,5.0,1.0,2.5,1.2149999999999999,1.58,10.43,16.2,0.00822,0.09185,0.025599999999999998,0.0487,0.0613,0.8915
"ARAUS_00629, ARAUS_00149",2,72.9595,5.0,2.0,1.0,2.5,4.0,5.0,1.0,2.5,1.22,1.745,7.75,12.55,0.0212,0.0929,0.02445,0.0722,0.11149999999999999,0.7935
"ARAUS_00154, ARAUS_00679",2,68.024,5.0,1.5,1.0,1.0,4.5,5.0,1.0,3.0,1.245,1.415,9.48,13.2,0.00784,0.0873,0.02475,0.05015,0.048549999999999996,0.6925
"ARAUS_00094, ARAUS_00384",2,44.989000000000004,5.0,1.5,1.0,2.0,4.5,5.0,1.0,3.5,1.435,1.705,8.775,12.649999999999999,0.007075,0.08,0.020999999999999998,0.047799999999999995,0.04935,0.7115
"ARAUS_00434, ARAUS_00089",2,69.356,5.0,1.5,1.5,2.5,4.5,5.0,1.5,3.5,1.6400000000000001,1.8599999999999999,17.75,22.45,0.01335,0.11449999999999999,0.025300000000000003,0.0475,0.1098,1.1800000000000002
"ARAUS_00296, ARAUS_00566",2,50.6715,5.0,1.0,1.0,1.0,5.0,5.0,1.5,4.0,1.38,2.5149999999999997,9.17,15.85,0.010964999999999999,0.0886,0.03095,0.18,0.1115,0.99
"ARAUS_00556, ARAUS_00241",2,179.94650000000001,5.0,2.5,1.0,1.5,4.0,5.0,1.5,3.0,1.105,1.4,8.350000000000001,12.85,0.0223,0.0887,0.0276,0.1065,0.1305,1.025
"ARAUS_00330, ARAUS_00175",2,52.784000000000006,5.0,4.0,1.5,3.5,2.0,3.5,1.0,1.5,1.165,1.625,8.265,14.0,0.01405,0.0875,0.02475,0.06655,0.11125,0.938
"ARAUS_00245, ARAUS_00490",2,91.14150000000001,5.0,1.0,1.0,2.5,5.0,4.0,1.0,3.0,0.9279999999999999,1.355,9.489999999999998,14.149999999999999,0.007665,0.099,0.02975,0.05335,0.032549999999999996,0.2625
"ARAUS_00560, ARAUS_00050",2,43.6,5.0,1.0,1.0,1.5,5.0,4.5,1.0,3.5,1.335,1.67,12.3,18.0,0.00789,0.094,0.026500000000000003,0.05255,0.0182,0.274
"ARAUS_00564, ARAUS_00434",2,48.208,5.0,2.5,1.5,4.0,3.5,4.0,1.0,3.0,1.225,2.25,15.4,25.95,0.034449999999999995,0.1195,0.03225,0.0747,0.3245,2.055
"ARAUS_00169, ARAUS_00559",2,50.519999999999996,5.0,1.5,1.5,1.5,4.5,5.0,1.0,2.5,1.45,2.43,12.55,20.45,0.0388,0.106,0.023,0.052000000000000005,0.206,1.3900000000000001
"ARAUS_00322, ARAUS_00062",2,70.15650000000001,5.0,3.0,2.0,3.5,3.0,4.0,2.0,2.5,1.24,1.495,10.175,15.7,0.00886,0.0834,0.023399999999999997,0.05605,0.27749999999999997,1.4849999999999999
"ARAUS_00367, ARAUS_00122",2,78.5315,5.0,2.5,1.0,3.5,3.0,5.0,1.0,1.5,1.8399999999999999,2.325,10.39,13.8,0.0133,0.08145,0.0178,0.03975,0.0177,0.21749999999999997
"ARAUS_00141, ARAUS_00511",2,54.958,5.0,3.0,3.5,4.0,3.5,4.5,1.5,1.5,1.93,2.39,8.205,9.72,0.00758,0.06715,0.0148,0.0314,0.0288,0.352
"ARAUS_00006, ARAUS_00676",2,47.366,5.0,2.5,1.0,3.0,4.0,5.0,1.0,3.5,1.685,2.0250000000000004,9.805,13.085,0.007994999999999999,0.07625,0.020700000000000003,0.047549999999999995,0.01935,0.28049999999999997
"ARAUS_00111, ARAUS_00261",2,54.81,5.0,1.0,1.0,2.0,3.0,5.0,1.0,4.0,1.76,2.0149999999999997,10.39,15.049999999999999,0.006805,0.07465,0.01965,0.043800000000000006,0.01475,0.14300000000000002
"ARAUS_00454, ARAUS_00089",2,77.845,5.0,3.0,1.0,2.5,3.0,5.0,1.0,2.0,1.125,1.545,9.690000000000001,15.100000000000001,0.00946,0.0874,0.0257,0.054400000000000004,0.111,1.1600000000000001
"ARAUS_00284, ARAUS_00649",2,43.909,5.0,1.5,1.5,2.5,4.0,5.0,1.5,4.0,1.395,1.6949999999999998,10.115,12.2,0.007690000000000001,0.086,0.0223,0.04635,0.0779,1.1
"ARAUS_00499, ARAUS_00199",2,55.6605,5.0,3.0,2.0,3.0,3.0,4.5,1.0,1.0,1.32,1.575,9.03,12.1,0.00929,0.07235,0.023399999999999997,0.04775,0.0665,0.6505000000000001
"ARAUS_00313, ARAUS_00638",2,125.761,5.0,1.5,1.5,3.0,2.0,5.0,3.5,3.0,1.165,1.73,11.149999999999999,24.2,0.023899999999999998,0.166,0.022949999999999998,0.0896,0.514,2.21
"ARAUS_00161, ARAUS_00286",2,43.135000000000005,5.0,1.5,1.0,3.0,3.0,4.5,1.0,4.5,1.23,1.725,16.2,24.7,0.009219999999999999,0.10800000000000001,0.0298,0.09290000000000001,0.3255,2.485
"ARAUS_00538, ARAUS_00443",2,73.08099999999999,5.0,1.5,1.0,1.5,4.5,5.0,1.0,3.0,1.9249999999999998,2.29,7.07,11.4,0.01123,0.06645000000000001,0.016300000000000002,0.04475,0.05305,0.9890000000000001
"ARAUS_00468, ARAUS_00213",2,106.22999999999999,5.0,1.0,1.5,1.5,4.5,5.0,1.0,2.0,1.85,2.16,8.86,15.100000000000001,0.00937,0.0581,0.019000000000000003,0.04615,0.04305,0.97
"ARAUS_00613, ARAUS_00253",2,56.33500000000001,5.0,2.0,1.0,2.5,2.0,4.5,1.5,3.0,1.565,2.0149999999999997,5.984999999999999,11.5,0.01865,0.06935,0.01855,0.08985,0.03755,0.472
