participant,merge_count,time_taken,pleasant,eventful,chaotic,vibrant,uneventful,calm,annoying,monotonous,Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
"ARAUS_00678, ARAUS_00223",2,53.1945,5.0,4.5,1.5,5.0,2.0,3.5,1.5,1.5,1.4249999999999998,1.87,22.4,31.45,0.075,0.1385,0.039650000000000005,0.1215,0.563,1.995
"ARAUS_00406, ARAUS_00621",2,52.1185,5.0,4.0,1.0,5.0,2.5,5.0,1.0,2.5,1.0750000000000002,1.805,6.28,12.95,0.01729,0.0915,0.026000000000000002,0.06865,0.09505,1.4065
ARAUS_00514,1,55.22,5.0,4.0,1.0,5.0,1.0,5.0,1.0,1.0,1.33,1.61,13.6,19.6,0.039,0.122,0.0277,0.0669,0.226,0.869
ARAUS_00230,1,36.4,5.0,2.0,1.0,5.0,4.0,5.0,1.0,1.0,1.09,1.72,7.19,11.5,0.0255,0.109,0.0319,0.198,0.36,1.39
ARAUS_00271,1,35.953,5.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,1.43,1.8,16.2,19.8,0.0242,0.11,0.0292,0.059,0.12,0.685
ARAUS_00436,1,63.752,5.0,5.0,3.0,5.0,1.0,3.0,2.0,1.0,1.25,1.95,15.3,23.9,0.0349,0.121,0.0312,0.0782,0.153,0.921
ARAUS_00281,1,49.224,5.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,1.22,1.66,15.1,20.2,0.0311,0.113,0.0306,0.0787,0.332,1.62
ARAUS_00021,1,33.959,5.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,1.39,2.21,23.0,42.0,0.0263,0.175,0.0362,0.0962,0.21,1.83
ARAUS_00499,1,91.594,5.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.35,2.48,11.7,20.5,0.0104,0.103,0.0238,0.0518,0.112,1.05
ARAUS_00032,1,44.094,5.0,2.0,1.0,5.0,3.0,5.0,1.0,1.0,1.45,1.78,10.5,13.8,0.00851,0.0878,0.0222,0.0467,0.174,1.42
ARAUS_00339,1,37.783,5.0,1.0,1.0,5.0,2.0,5.0,2.0,4.0,1.95,2.26,11.5,22.0,0.0523,0.105,0.0203,0.0562,0.0346,0.914
