participant,soundscape,masker,stimulus_index,time_taken,Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
ARAUS_00009,R0087_segment_binaural_44100_1.wav,silence_00004.wav,28,35.592,1.19,1.69,18.6,31.5,0.0319,0.136,0.0349,0.0993,0.651,2.44
ARAUS_00021,R0081_segment_binaural_44100_2.wav,traffic_00029.wav,4,37.439,1.27,1.77,19.5,29.2,0.0267,0.114,0.036,0.0909,0.485,3.15
ARAUS_00021,R0046_segment_binaural_44100_2.wav,bird_00047.wav,8,37.833,1.24,1.86,11.2,19.8,0.0294,0.109,0.0233,0.0607,0.264,1.53
ARAUS_00021,R0080_segment_binaural_44100_2.wav,traffic_00006.wav,11,33.782,1.52,1.93,11.8,21.9,0.0155,0.095,0.0249,0.181,0.0753,0.979
ARAUS_00021,R0115_segment_binaural_44100_1.wav,bird_00059.wav,12,37.663,1.24,1.57,8.18,15.2,0.0384,0.0806,0.0224,0.0471,0.267,1.73
ARAUS_00021,R0081_segment_binaural_44100_2.wav,silence_00001.wav,14,31.848,1.24,1.4,16.0,24.0,0.0453,0.108,0.0382,0.104,0.387,1.47
ARAUS_00021,R0071_segment_binaural_44100_1.wav,bird_00014.wav,16,35.616,1.53,3.57,23.2,56.9,0.0743,0.243,0.0542,0.536,1.31,4.53
ARAUS_00021,R0081_segment_binaural_44100_1.wav,water_00066.wav,18,33.04,1.34,1.66,16.7,22.3,0.0248,0.11,0.0332,0.0977,0.16,1.11
ARAUS_00021,R0011_segment_binaural_44100_1.wav,wind_00036.wav,21,33.768,1.72,1.96,19.4,25.1,0.0126,0.108,0.0267,0.0528,0.08,0.525
ARAUS_00021,R0056_segment_binaural_44100_2.wav,bird_00040.wav,26,35.574,1.79,2.25,17.2,27.2,0.0339,0.105,0.021,0.0603,0.769,3.33
ARAUS_00021,R0092_segment_binaural_44100_1.wav,wind_00031.wav,29,38.2,1.51,2.01,18.8,25.2,0.012,0.121,0.0311,0.0698,0.0922,0.859
ARAUS_00021,R0011_segment_binaural_44100_2.wav,water_00034.wav,31,34.893,1.75,1.91,21.2,26.1,0.013,0.119,0.0302,0.0625,0.0645,0.714
ARAUS_00021,R0011_segment_binaural_44100_1.wav,silence_00001.wav,34,32.462,1.23,1.79,15.0,19.3,0.0309,0.11,0.0303,0.0613,0.15,0.797
ARAUS_00021,R0115_segment_binaural_44100_1.wav,construction_00015.wav,35,38.744,1.64,2.21,9.03,16.1,0.00998,0.0815,0.021,0.0462,0.204,1.62
ARAUS_00021,R0071_segment_binaural_44100_1.wav,silence_00001.wav,42,33.807,1.34,1.66,20.8,33.9,0.0745,0.192,0.0298,0.0873,1.19,4.47
ARAUS_00021,R0056_segment_binaural_44100_1.wav,silence_00001.wav,44,34.231,1.79,2.33,15.5,20.5,0.00965,0.0926,0.023,0.042,0.1,0.659
ARAUS_00021,R0091_segment_binaural_44100_1.wav,silence_00001.wav,45,34.743,1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
ARAUS_00022,R0103_segment_binaural_44100_2.wav,bird_00001.wav,5,50.953,1.29,1.97,20.8,48.0,0.0383,0.138,0.0369,0.0899,0.351,4.36
ARAUS_00022,R0020_segment_binaural_44100_2.wav,silence_00002.wav,37,45.782,1.22,1.73,8.76,13.0,0.0106,0.0858,0.0225,0.0492,0.285,1.61
ARAUS_00041,R0056_segment_binaural_44100_2.wav,bird_00019.wav,18,40.872,1.77,2.04,16.9,25.3,0.0216,0.0697,0.021,0.0603,0.733,3.32
ARAUS_00041,R0011_segment_binaural_44100_2.wav,silence_00001.wav,28,42.007,1.21,1.66,14.7,19.5,0.0231,0.121,0.0307,0.0782,0.147,0.921
ARAUS_00041,R0081_segment_binaural_44100_2.wav,construction_00014.wav,30,33.696,1.22,1.59,17.1,24.6,0.0312,0.111,0.0377,0.089,0.321,1.4
ARAUS_00041,R0091_segment_binaural_44100_1.wav,silence_00001.wav,45,43.296,1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
ARAUS_00043,R0091_segment_binaural_44100_1.wav,silence_00003.wav,45,46.022,1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
ARAUS_00045,R0090_segment_binaural_44100_2.wav,bird_00066.wav,35,61.079,1.32,1.76,21.4,38.4,0.0325,0.123,0.0323,0.111,0.442,2.32
ARAUS_00048,R0118_segment_binaural_44100_1.wav,silence_00003.wav,20,50.821,1.08,1.56,19.1,29.8,0.0988,0.168,0.0445,0.152,0.719,2.34
ARAUS_00048,R0118_segment_binaural_44100_2.wav,bird_00003.wav,39,44.745,1.24,2.19,18.5,36.1,0.0714,0.179,0.04,0.163,0.581,2.12
